id,points,rank,name,slug,color
690242,204,373,Uglyboyuk,uglyboyuk,#DE2221
690951,35,2934,kaka23,kaka23,#8BD82B
691145,20,4952,JebieeWdenko,jebieewdenko,#DE2221
691218,24,4205,caleb_king,caleb-king,#DE2221
691792,30,3407,murphy1988,murphy1988,#8BD82B
691956,23,4378,Widget,widget,#8BD82B
692244,38,2721,WonskiZiom,wonskiziom,#DE2221
692594,190,405,stara12345,stara12345,#DE2221
693056,94,997,rottentothebonnie,rottentothebonnie,#8BD82B
693066,27,3747,Głuchy_Dzidowiec,gluchy-dzidowiec,#8BD82B
693394,30,3406,Mariusz_Ce,mariusz-ce,#DE2221
693869,150,555,Ludzka gnida,ludzka-gnida,#f0cc00
693983,52,1908,Krisulo,krisulo,#DE2221
694164,24,4204,grajes123,grajes123,#DE2221
694506,44,2313,BrowarekSD,browareksd,#DE2221
694822,20,4951,Anty-Cudak Prime,anty-cudak-prime,#DE2221
694823,268,259,Michalina Gajda,michalina-gajda,#8BD82B
694838,68,1453,KyS4E,kys4e,#DE2221
694917,26,3892,Ligma.,ligma1,#8BD82B
695028,20,4950,Romekburczymucha,romekburczymucha,#DE2221
695037,21,4748,2volton5,2volton5,#8BD82B
695214,67,1473,Pan Leśnik,pan-lesnik,#DE2221
695643,42,2431,Klejnot.Nillu,klejnotnillu,#666666
696055,40,2560,Kmicic111,kmicic111,#8BD82B
696091,36,2855,Wiktor Piłsudski,wiktor-pilsudski,#DE2221
696162,27,3746,Lekrua,lekrua,#DE2221
696322,20,4949,JokerDzida,jokerdzida,#DE2221
696423,57,1737,xxKassandra,xxkassandra,#8BD82B
696469,56,1771,Padre75,padre75,#DE2221
696762,51,1978,Mantoł,mantol,#666666
697186,496,117,HeruV2,heruv2,#DE2221
697468,29,3512,Arek Gazda,arek-gazda1,#8BD82B
697729,24,4203,Fenrir Nils,fenrir-nils,#8BD82B
698126,107,843,stanlejkubrik,stanlejkubrik,#8BD82B
698368,193,399,Arnon,arnon,#DE2221
698410,29,3511,JasiuWedrownik,jasiuwedrownik,#8BD82B
699357,26,3891,Antrahte Kelevra,antrahte-kelevra,#DE2221
700848,22,4574,vanTroff,vantroff,#DE2221
700946,36,2854,Pan_Tadeusz_Pl,pan-tadeusz-pl,#8BD82B
701807,22,4573,Wojjok1,wojjok1,#DE2221
702255,203,377,Hubert Żabicki,hubert-zabicki,#DE2221
702487,79,1220,Bartimaei,bartimaei,#DE2221
702892,58,1705,lipek990,lipek990,#8BD82B
703154,27,3745,Charnel2500,charnel2500,#DE2221
703230,402,152,Garrymuwaut,garrymuwaut,#DE2221
703361,77,1246,StrazakTeksasu,strazakteksasu,#DE2221
703543,38,2720,Pazdan Jr,pazdan-jr,#DE2221
703634,24,4202,plackonator,plackonator,#DE2221
703724,41,2493,Jesuschrist,jesuschrist,#DE2221
704030,23,4377,poldeck,poldeck,#8BD82B
704150,52,1907,ShowUp,showup,#DE2221
704323,26,3890,lzx20576,lzx20576,#8BD82B
704411,138,617,Emil Czeczko,emil-czeczko,#8BD82B
705104,41,2492,Likeee,likeee,#DE2221
705721,165,493,Wojtek Rudnicki,wojtek-rudnicki,#DE2221
705763,116,747,Memy Na Zakąskę,memy-na-zakaske,#DE2221
705775,25,4035,xm4v,xm4v,#8BD82B
705839,35,2933,HektorPotrawka,hektorpotrawka,#8BD82B
705876,26,3889,Mądrydebil,madrydebil,#8BD82B
706395,57,1736,KrzychuWLK,krzychuwlk,#DE2221
706603,107,842,Karol78,karol78,#f0cc00
706821,27,3744,Damian Wayne,damian-wayne,#DE2221
707077,36,2853,devepuzgc,devepuzgc,#DE2221
707599,22,4571,Obspermiator,obspermiator,#DE2221
708615,54,1838,Rokenhronteys,rokenhronteys,#8BD82B
708745,47,2137,Brb2,brb2,#DE2221
708861,76,1266,TPP22000,tpp22000,#8BD82B
708876,20,4948,for_grimmer,for-grimmer,#8BD82B
709175,1418,23,Sugondese,sugondese,#f0cc00
709285,28,3620,Karol Radecki,karol-radecki,#DE2221
709808,65,1516,MrFaker,mrfaker,#8BD82B
709830,51,1977,kocia twarz z internetu,kocia-twarz-z-internetu,#8BD82B
710085,22,4570,krzkam,krzkam,#DE2221
710585,25,4034,Broszka,broszka,#DE2221
710817,51,1976,Rubber,rubber,#DE2221
711152,218,342,Wcalenie124,wcalenie124,#8BD82B
711388,70,1400,Kamila98,kamila98,#DE2221
712901,131,658,PedziStolec,pedzistolec,#DE2221
713185,121,723,Weronika Jańczyk,weronika-janczyk,#8BD82B
713423,29,3510,Visenna,visenna,#DE2221
713959,49,2050,Sadie1500,sadie1500,#DE2221
714634,39,2637,Rejza2,rejza2,#DE2221
715201,23,4376,a435708,a435708,#8BD82B
715325,45,2255,Zloty_Dlugopis,zloty-dlugopis,#8BD82B
715939,87,1094,Qtanq,qtanq,#8BD82B
716037,20,4947,Fujarken,fujarken,#8BD82B
716463,29,3509,piomx1992,piomx1992,#8BD82B
716500,31,3302,spierdolony_ze_stanowiska,spierdolony-ze-stanowiska,#8BD82B
716673,23,4375,secondsoul,secondsoul,#8BD82B
716754,48,2096,JanuaryRozpal,januaryrozpal,#DE2221
717888,32,3194,AbrusKadabrus,abruskadabrus,#DE2221
718221,70,1399,Czuowiekguma432,czuowiekguma432,#DE2221
719012,1173,30,venusska69,venusska69,#666666
719238,36,2852,Corvus Corax,corvus-corax,#8BD82B
719290,114,775,Redds Maxi,redds-maxi,#DE2221
720106,25,4033,princuss,princuss,#DE2221
720830,26,3888,Lil_Wojtyła,lil-wojtyla1,#DE2221
721884,48,2095,Kgj01,kgj01,#DE2221
722443,105,865,Anormalny,anormalny,#8BD82B
722821,160,513,Niezłypablo123,niezlypablo123,#DE2221
722930,21,4747,Lajato,lajato,#DE2221
724601,757,64,tyskie87,tyskie87,#f0cc00
725023,1121,37,Gandalflvl80wizard,gandalflvl80wizard,#DE2221
725094,87,1093,KuokaL,kuokal,#DE2221
726190,88,1080,UGABUGAUwU2137,ugabugauwu2137,#8BD82B
726812,53,1873,Wojtekiksde,wojtekiksde,#DE2221
727832,30,3404,Memikk,memikk,#8BD82B
727866,40,2559,Kövesshaza,kovesshaza,#8BD82B
727871,81,1182,EneMene,enemene,#8BD82B
728072,44,2312,kurwix1234,kurwix1234,#DE2221
728226,68,1452,anonimowykutacz,anonimowykutacz,#8BD82B
728268,34,3000,Alvadan,alvadan,#DE2221
728435,33,3100,Dobrodzieju,dobrodzieju,#DE2221
728605,21,4746,kalpo,kalpo,#8BD82B
729388,26,3886,Treize96,treize96,#DE2221
729749,207,367,Średnia,srednia,#DE2221
730608,21,4745,777_New_Satan,777-new-satan,#8BD82B
731124,91,1037,Indianka,indianka,#8BD82B
